Drug,ATC3
acetylcysteine,R05C
acetylcysteine,A06A
acetylcysteine,C10A
acetylcysteine,C03C
acetylcysteine,A03B
gabapentin,N03A
gabapentin,B05C
gabapentin,C03C
gabapentin,C07A
Furosemide in 0.9% Sodium Chloride,C03C
Lactobacillus Rhamnosus (GG),C03C
Furosemide 100mg/10mL 10mL VIAL,N03A
Furosemide 100mg/10mL 10mL VIAL,B05C
Furosemide 100mg/10mL 10mL VIAL,C03C
Furosemide 100mg/10mL 10mL VIAL,N05C
Furosemide,A12C
Furosemide,A10A
Furosemide,A01A
Furosemide,A11D
Furosemide,C03C
Furosemide,A12B
Furosemide,A06A
Furosemide,A07A
Furosemide,C07A
Furosemide,H04A
Furosemide,C02D
Furosemide,D07A
Furosemide,B01A
Anoro Ellipta 62.5-25 mcg,C03C
Anoro Ellipta,N07B
Anoro Ellipta,A12C
Anoro Ellipta,A10A
Anoro Ellipta,A10B
Anoro Ellipta,A07E
Anoro Ellipta,A12B
Anoro Ellipta,A06A
Anoro Ellipta,B03B
Anoro Ellipta,C05A
Anoro Ellipta,J01D
Anoro Ellipta,D04A
Anoro Ellipta,D07A
Anoro Ellipta,N02B
Anoro Ellipta,R03A
Anoro Ellipta,A12A
Anoro Ellipta,R05D
Anoro Ellipta,C03C
Anoro Ellipta,B01A
spironolactone,A06A
spironolactone,C03C
Lovastatin,A12C
Lovastatin,A01A
Lovastatin,N02A
Lovastatin,A06A
Lovastatin,C03A
Lovastatin,N02B
Lovastatin,C10A
Lovastatin,C03C
Lenalidomide (Revlimide)15mg ,C03C
macitentan,B01A
macitentan,A01A
macitentan,A06A
macitentan,A07A
macitentan,M04A
macitentan,C03C
macitentan,V03A
macitentan,C07A
Janumet,A12C
Janumet,A10A
Janumet,N05A
Janumet,A01A
Janumet,A10B
Janumet,A12B
Janumet,B05C
Janumet,A07A
Janumet,C09A
Janumet,N02B
Janumet,C10A
Janumet,N04B
Janumet,R06A
Janumet,N06A
Janumet,C03C
Revatio (Sildenafil),C03C
pantoprazole,A12C
pantoprazole,A02B
pantoprazole,A02A
pantoprazole,N03A
pantoprazole,C03C
Leflunomide,A07E
Leflunomide,D04A
Leflunomide,L04A
Leflunomide,D07A
Leflunomide,N02B
Leflunomide,N06A
Leflunomide,C03C
Crizotinib 250mg Caps,C03C
Neupro,N05A
Neupro,A12B
Neupro,R01A
Neupro,A06A
Neupro,C01B
Neupro,A02B
Neupro,N06A
Neupro,C03C
NORepinephri 8mg/250mL 250mL BAG,A12C
NORepinephri 8mg/250mL 250mL BAG,A10A
NORepinephri 8mg/250mL 250mL BAG,A06A
NORepinephri 8mg/250mL 250mL BAG,N01A
NORepinephri 8mg/250mL 250mL BAG,J01F
NORepinephri 8mg/250mL 250mL BAG,A07A
NORepinephri 8mg/250mL 250mL BAG,C03D
NORepinephri 8mg/250mL 250mL BAG,C07A
NORepinephri 8mg/250mL 250mL BAG,C02D
NORepinephri 8mg/250mL 250mL BAG,B03B
NORepinephri 8mg/250mL 250mL BAG,C03C
NORepinephri 8mg/250mL 250mL BAG,B01A
Myrbetriq,A12C
Myrbetriq,A01A
Myrbetriq,C01C
Myrbetriq,A06A
Myrbetriq,B03B
Myrbetriq,N01A
Myrbetriq,B05C
Myrbetriq,C02C
Myrbetriq,A02B
Myrbetriq,A07A
Myrbetriq,A02A
Myrbetriq,N02B
Myrbetriq,C02D
Myrbetriq,N04B
Myrbetriq,A12A
Myrbetriq,N05B
Myrbetriq,C03C
Myrbetriq,B01A
ketorolac,A01A
ketorolac,A10A
ketorolac,M01A
ketorolac,A07E
ketorolac,A12B
ketorolac,A06A
ketorolac,B05C
ketorolac,J01C
ketorolac,C08C
ketorolac,C09A
ketorolac,H04A
ketorolac,A04A
ketorolac,C10A
ketorolac,A12A
ketorolac,C03C
ketorolac,D01A
ketorolac,B01A
Flovent HFA,A12C
Flovent HFA,C03C
Flovent HFA,A07E
Flovent HFA,J01D
Flovent HFA,D07A
Flovent HFA,C07A
Amiodarone (f 150mg/3mL 3mL Vial,C01D
Amiodarone (f 150mg/3mL 3mL Vial,A10A
Amiodarone (f 150mg/3mL 3mL Vial,C03C
Vagifem,A01A
Vagifem,A10B
Vagifem,N02A
Vagifem,A06A
Vagifem,C10A
Vagifem,C03C
Letairis 10mg,C03C
PreserVision,B01A
PreserVision,N02A
PreserVision,A06A
PreserVision,C05A
PreserVision,A02B
PreserVision,R03A
PreserVision,C03C
PreserVision,C07A
ambrisentan,A12C
ambrisentan,A10A
ambrisentan,A06A
ambrisentan,A07A
ambrisentan,N05B
ambrisentan,N02B
ambrisentan,A04A
ambrisentan,J05A
ambrisentan,C03C
ambrisentan,B01A
Torsemide,C03C
beclomethasone dipropionate,B01A
beclomethasone dipropionate,A07E
beclomethasone dipropionate,A02B
beclomethasone dipropionate,H04A
beclomethasone dipropionate,N03A
beclomethasone dipropionate,C03C
beclomethasone dipropionate,C07A
loteprednol etabonate,N02A
loteprednol etabonate,A07E
loteprednol etabonate,A11G
loteprednol etabonate,C05A
loteprednol etabonate,C03C
loteprednol etabonate,B01A
oxybutynin chloride,D11A
oxybutynin chloride,A06A
oxybutynin chloride,B05C
oxybutynin chloride,A02B
oxybutynin chloride,C03A
oxybutynin chloride,G04B
oxybutynin chloride,C03C
oxybutynin chloride,B01A
carvedilol phosphate,C03C
ruxolitinib (Jakafi),A10A
ruxolitinib (Jakafi),J02A
ruxolitinib (Jakafi),C03C
Simbrinza,A12C
Simbrinza,A10A
Simbrinza,A01A
Simbrinza,A07E
Simbrinza,C01D
Simbrinza,A06A
Simbrinza,C01B
Simbrinza,B05C
Simbrinza,S01E
Simbrinza,A02A
Simbrinza,R03A
Simbrinza,C07A
Simbrinza,C02D
Simbrinza,A12A
Simbrinza,N06A
Simbrinza,C03C
Simbrinza,B01A
Sprycel,G04C
Sprycel,L01X
Sprycel,B05C
Sprycel,C03C
Lidocaine 1%,A12C
Lidocaine 1%,A01A
Lidocaine 1%,N02A
Lidocaine 1%,C01B
Lidocaine 1%,B05C
Lidocaine 1%,J01C
Lidocaine 1%,C03C
Albuterol Inhaler,A12C
Albuterol Inhaler,N05A
Albuterol Inhaler,N02A
Albuterol Inhaler,A01A
Albuterol Inhaler,A12B
Albuterol Inhaler,R01A
Albuterol Inhaler,A06A
Albuterol Inhaler,M03A
Albuterol Inhaler,B05C
Albuterol Inhaler,R03A
Albuterol Inhaler,A12A
Albuterol Inhaler,C03C
Albuterol Inhaler,C07A
Systane Eye Drops,C03C
Nasonex 50mcg,R01A
Nasonex 50mcg,C03C
theophylline,A06A
theophylline,C03C
copper gluconate,C03C
Prozac *Brand Name*,C03C
REVLIMID,R05C
REVLIMID,B05C
REVLIMID,J01F
REVLIMID,D04A
REVLIMID,A07A
REVLIMID,D06B
REVLIMID,N03A
REVLIMID,C07A
REVLIMID,N05A
REVLIMID,A01A
REVLIMID,N02A
REVLIMID,A06A
REVLIMID,J01D
REVLIMID,A02B
REVLIMID,N05B
REVLIMID,A12B
REVLIMID,N02B
REVLIMID,A04A
REVLIMID,A12C
REVLIMID,H03A
REVLIMID,N06A
REVLIMID,C03C
REVLIMID,B01A
Tresiba FlexTouch U-100 *NF* (insulin degludec) ,C03C
Sodium Polystyrene Sulfonate,C10A
Sodium Polystyrene Sulfonate,N02B
Sodium Polystyrene Sulfonate,C03C
Sodium Polystyrene Sulfonate,B01A
Jardiance,A10A
Jardiance,A07E
Jardiance,A02B
Jardiance,C03C
Jardiance,B01A
fluoxymesterone,A06A
fluoxymesterone,C03C
OysterShell500+VitD3,C03C
OysterShell500+VitD3,B01A
Symbicort 160mcg/4.5mcg,A02A
Symbicort 160mcg/4.5mcg,C03C
u,R05C
u,J01G
u,R01B
u,N01B
u,H04A
u,M03C
u,P02B
u,J02A
u,S01A
u,C05A
u,J07A
u,A02A
u,M04A
u,R03A
u,L01A
u,D01A
u,J01E
u,G04C
u,N07X
u,H03B
u,P01A
u,L01B
u,A12B
u,B06A
u,J01X
u,C01E
u,H02A
u,L01D
u,R05D
u,D07A
u,A03B
u,P01B
u,L02A
u,A12C
u,A10A
u,G03C
u,R01A
u,M03A
u,M05B
u,B03A
u,N02C
u,H03A
u,G01A
u,G04B
u,C03C
Victoza  6mg/ml (liraglutide),C03C
Sucralfate,A02B
Sucralfate,A12A
Sucralfate,C03C
Sildenafil,G04B
Sildenafil,C03C
Zolpidem CR,C03C
Zolpidem CR,B01A
donepezil,N06D
donepezil,M03A
donepezil,C02D
donepezil,N03A
donepezil,C03C
d,C03C
d,B02B
d,D04A
d,R01B
d,C03A
d,A03F
d,R02A
d,B03B
d,R06A
d,M03C
d,G03A
d,C02A
d,S01A
d,A06A
d,J07A
d,B02A
d,S01K
d,S01F
d,M03B
d,V04C
d,G03B
d,P02C
d,A12B
d,A07B
d,C01B
d,B06A
d,D10A
d,J01X
d,A04A
d,H02A
d,P01C
d,R05D
d,H01C
